
ENH_SNAVN ENH_SSROBJ_ID ENH_SSR_ID ENH_SNAVN
Frøyningsflyin 243950 245668 Freavnanvealma
Stordalselva 244457 246168 Njøølvenjohke
Stordalen 243900 245618 Njøølve
Mellingsvatnet 244139 245856 Veelnjesjaevrie
Mellingsåsen 244198 245914 Veelnjesaesie
Bleikarfjellet 244133 245850 Tjoelmentjahke
Jengelskardvatnet 244150 245867 Tjoelmendurrienjaevrie
Bleikarvatnet 244192 245909 Tjoelenjaevrie
Storsteinåa 244272 245988 Stoerrebaertienjohke
Smalvatnet 244159 245876 Smeelehjaevrie
Smalåsen 244179 245896 Smeelehaesie
Smalåsen 244182 245899 Smaalanjuenie
Gåsvassklumpen 244166 245883 Reetjkenvaartoe
Namskroken 244188 245905 Nåamesjenmåelhkie
Helvetesfossen 244213 245929 Lijkiehagke
Rundfjellet 244191 245908 Jarpetjahke
Bleikarelva 244162 245879 Garsejohke
Steinfjellaksla 244231 245947 Aarhtsenjuenie
Snøådalen 240751 755707 Lopmesvaajja
Frøyningsdalen 243949 245667 Freavna
Frøyningsfjellet_litle 243952 245670 Ohtjefreavnandalvese
Tromsa 241022 242754 Trompenjohke
Tromsdalen 241044 242776 Trompenvuemie
Domfjellet 240946 399993 Såafanjuenie
Prestkleiva 241316 243046 Raavnejengovre
Kjerråa 240873 242605 Sierkesjohke
Steinfjellet 241710 243437 Stoerrebaertie
Grønlitjørna_nedre 240818 242550 Vuelienjuanajaevrie
Krutjørna 240820 242552 Såålejaevrie
Nesaelva 240905 746679 Såafajeanoe
Storfjellet 240831 242563 Stoerretjahke
Lindsetvatnet 241704 746601 Stoerrejaevrie
Tverrdalen 241699 243426 Sijhtiejælla
Sætertjørnin 241043 242775 Sieteretjonneh
Steinåklumpen 240876 242608 Rosse
Stompdalen 241014 242746 Rasnejælla
Midtifjelltjørnin 240902 242634 Raavrejaevrie
Flåttådalselva_l 241016 242748 Pluahtajællanjohke
Skatollet 240779 746656 Njåemelentjahke
Storhaugen 240953 242685 Jollevaartoe
Vesterådalen 240865 242597 Jiengelesvaajja
Langtjønna 240952 746639 Guhkiestjonneh
Langtjørna 240808 242540 Guhkiesjaevrie
Grønlielva 241696 243423 Guevtelsjaevrienjohke
Sæterfjellet 240809 242541 Guertiesmehkienbavne
Bjørelvdalen 240920 242652 Graesievaajja
Steinådalen 240875 242607 Goehpevaajja
Frøyningsfjellet 243975 245693 Freavnantjahke
Frønningselva 240814 242546 Freavnanjohke
Frøyningen 240774 755708 Freavnanjaevrie
Bjørndalstjørnin 240991 242723 Duvriejaavretje
Bjønndalen 240981 242713 Duvriegarse
Finnvollfjellet 240896 746636 Dievienvaartoe
Finnvollbekken 240961 242693 Dievienjohke
Skarvåsen 241062 242794 Brienne
Brekkvasselva 240959 242691 Braahkenjohke
Klumpliklumpen 241057 242789 Bavne
Urdtjørna 240734 242467 Skåvnjajaevrie
Storfisktjønna 240657 242390 Njuanajaevrie
Lindsetdalen 240669 242402 Njeeruve
Snøådalsfjellet 240714 242447 Jorpetjahke
Kvernfjellet 240619 242352 Pliehtjeguevtelennjuenie
Midtre_Nesåvatnet 236684 238426 Gaske-Neessanjaevrie
Søre_Grøndalsfjellet 236631 238374 Saedtietjåalhte
Strompdalselva 240723 399983 Rasnejællanjohke
Kleggtjønna 241301 1071948 Golmes-jaevrie
Kjerråtjønnin 241265 772454 Gaallinenjaevrie
Todorspeten 241012 399995 Tjaktjanjuenie
Nedre_Jantjønna 236656 349482 Saedtietjåalhtenjaevrie
Nesåpiggen 236707 875965 Lievkiesåejjie
Vestre_Brandsfjellet 232833 706095 Gilmetje
Rognbuklumpen 236699 238441 Rampege
Reinsjøen 236717 746644 Bijjie-Neessanjaevrie
Geitfjellet 232086 755712 Aejrienvaerie
Sanddøla 232474 234236 Sovvene
Nedre_Nesåvatnet 236673 349342 Vuelie-Neessanjaevrie
